Macrocategoria;Linea;Superficie;Forma;Profilo;Codice Prodotto;Larghezza (mm);Altezza (mm);Proiezione (mm);Arco (mm);LVC (mm);Volume (ml)
Protesi Mammarie;B-Lite;Microthane;Opticon;Extra Alto;30647-510LW25;146;124;69;85;106;510
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-110;90;90;26;54;54;110
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-125;95;95;27;57;57;125
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-150;100;100;28;60;60;150
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-165;105;105;29;62;62;165
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-185;110;110;29;65;65;185
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-215;115;115;30;68;68;215
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-235;120;120;31;71;71;235
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-270;125;125;32;73;73;270
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-295;130;130;33;76;76;295
Protesi Mammarie;SublimeLine;MESMO;Même;Basso;15724-330;135;135;34;79;79;330
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-105;80;80;31;53;53;105
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-120;85;85;32;56;56;120
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-145;90;90;33;59;59;145
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-165;95;95;35;62;62;165
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-195;100;100;36;65;65;195
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-220;105;105;37;68;68;220
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-255;110;110;38;71;71;255
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-285;115;115;40;74;74;285
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-300;118;118;40;75;75;300
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-320;120;120;41;77;77;320
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-360;125;125;43;80;80;360
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-400;130;130;44;83;83;400
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-445;135;135;45;86;86;445
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-495;140;140;47;89;89;495
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-545;145;145;48;92;92;545
Protesi Mammarie;SublimeLine;MESMO;Même;Moderato;15725-600;150;150;49;95;95;600
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-125;80;80;37;58;58;125
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-155;85;85;39;61;61;155
